,RK,Team,POS,GP,AB,R,H,AVG,2B,3B ,HR,RBI,TB,BB,K,SB,OBP,SLG,OPS,WAR
Bobby Witt Jr.,1,KC,SS,43,180,27,42,.233,7,4,7,19,78,10,41,12,.274,.433,.707,0.7
Trea Turner,2,PHI,SS,42,178,24,46,.258,9,2,4,10,71,12,50,5,.305,.399,.704,0.6
Bo Bichette,3,TOR,SS,42,177,27,57,.322,10,0,8,28,91,12,29,1,.368,.514,.883,1.7
Ryan Mountcastle,4,BAL,1B,42,174,26,44,.253,11,1,9,29,84,7,43,2,.279,.483,.761,0.2
Joey Meneses,5,WSH,DH,41,173,16,51,.295,10,0,2,22,67,8,36,0,.326,.387,.713,0.1
Esteury Ruiz,5,OAK,CF,44,173,19,47,.272,11,1,1,22,63,6,35,20,.333,.364,.697,0.2
Bryson Stott,7,PHI,2B,40,171,12,48,.281,8,0,2,13,62,8,30,5,.315,.363,.677,1.0
Freddie Freeman,8,LAD,1B,43,170,35,53,.312,14,0,7,22,88,22,33,6,.387,.518,.904,1.5
Marcus Semien,9,TEX,2B,42,169,36,50,.296,9,0,7,35,80,23,32,7,.379,.473,.853,2.6
Paul Goldschmidt,10,STL,1B,42,167,27,52,.311,16,0,7,23,89,22,37,5,.398,.533,.931,1.8
Nolan Arenado,10,STL,3B,41,167,22,44,.263,4,1,8,31,74,12,36,2,.309,.443,.753,1.0
Wander Franco,10,TB,SS,41,167,26,49,.293,15,0,7,23,85,13,27,12,.350,.509,.859,2.3
Ozzie Albies,13,ATL,2B,42,166,18,44,.265,9,1,10,30,85,7,29,1,.305,.512,.817,1.2
Nathaniel Lowe,13,TEX,1B,42,166,30,44,.265,13,1,5,27,74,20,39,0,.346,.446,.792,1.1
Julio Rodriguez,13,SEA,CF,40,166,26,36,.217,7,1,7,20,66,14,53,7,.286,.398,.683,1.0
Francisco Lindor,16,NYM,SS,43,165,25,37,.224,14,0,6,31,69,15,44,4,.306,.418,.725,1.3
Teoscar Hernandez,16,SEA,RF,42,165,19,40,.242,5,1,8,22,71,6,59,2,.282,.430,.713,0.8
Alex Verdugo,16,BOS,RF,42,165,35,50,.303,14,1,5,18,81,16,25,3,.378,.491,.869,1.8
Rafael Devers,16,BOS,3B,42,165,23,42,.255,11,0,11,38,86,10,37,0,.302,.521,.823,0.9
Nick Castellanos,20,PHI,RF,42,164,30,50,.305,14,0,5,25,79,12,47,1,.352,.482,.834,1.3
Ronald Acuna Jr.,20,ATL,RF,42,164,38,57,.348,12,0,10,26,99,25,27,17,.438,.604,1.041,2.9
Vinnie Pasquantino,20,KC,1B,44,164,20,44,.268,13,0,7,19,78,21,19,0,.356,.476,.832,0.6
Austin Riley,23,ATL,3B,42,163,24,39,.239,5,0,7,20,65,20,50,0,.323,.399,.721,0.3
Thairo Estrada,24,SF,2B,40,162,26,50,.309,9,1,6,15,79,8,38,11,.356,.488,.844,1.6
Dansby Swanson,25,CHC,SS,41,161,23,44,.273,11,0,3,15,64,26,43,4,.374,.398,.772,1.9
