,RK,Team,POS,GP,AB,R,H,AVG,2B,3B ,HR,RBI,TB,BB,K,SB,OBP,SLG,OPS,WAR
Luis Arraez,1,MIA,2B,38,140,14,54,.386,8,1,1,15,67,14,9,1,.442,.479,.921,1.7
Ronald Acuna Jr.,2,ATL,RF,42,164,38,57,.348,12,0,10,26,99,25,27,17,.438,.604,1.041,2.9
Matt Chapman,3,TOR,3B,41,152,22,49,.322,18,0,5,22,82,20,45,1,.408,.539,.948,2.5
Bo Bichette,4,TOR,SS,42,177,27,57,.322,10,0,8,28,91,12,29,1,.368,.514,.883,1.7
Yandy Diaz,5,TB,1B,39,140,33,45,.321,8,0,10,24,83,23,25,0,.429,.593,1.021,1.8
Jonah Heim,6,TEX,C,36,131,25,41,.313,9,0,6,31,68,11,27,1,.368,.519,.887,1.6
Vladimir Guerrero Jr.,7,TOR,1B,40,157,25,49,.312,11,0,7,26,81,16,26,2,.385,.516,.901,1.4
Lourdes Gurriel Jr.,8,ARI,LF,38,141,25,44,.312,11,1,7,25,78,13,24,1,.376,.553,.929,1.5
Freddie Freeman,9,LAD,1B,43,170,35,53,.312,14,0,7,22,88,22,33,6,.387,.518,.904,1.5
Randy Arozarena,10,TB,LF,41,154,28,48,.312,5,1,10,35,85,18,40,3,.394,.552,.946,1.6
Paul Goldschmidt,11,STL,1B,42,167,27,52,.311,16,0,7,23,89,22,37,5,.398,.533,.931,1.8
Mauricio Dubon,12,HOU,2B,36,149,27,46,.309,10,1,0,8,58,4,20,3,.329,.389,.718,1.4
Thairo Estrada,13,SF,2B,40,162,26,50,.309,9,1,6,15,79,8,38,11,.356,.488,.844,1.6
Anthony Rizzo,14,NYY,1B,42,159,27,49,.308,7,0,9,23,83,17,36,0,.390,.522,.912,1.5
Brandon Nimmo,14,NYM,CF,42,159,23,49,.308,9,1,3,18,69,21,33,3,.396,.434,.830,1.1
TJ Friedl,16,CIN,CF,37,124,13,38,.306,5,3,3,18,58,7,29,4,.351,.468,.818,1.1
Nick Castellanos,17,PHI,RF,42,164,30,50,.305,14,0,5,25,79,12,47,1,.352,.482,.834,1.3
Brent Rooker,18,OAK,LF,37,125,21,38,.304,7,0,11,30,78,23,35,1,.418,.624,1.042,1.8
