,RK,Team,POS,GP,GS,QS,ERA,W,L,SV,HLD,IP,H,ER,HR,BB,K,K/9,WAR,WHIP
Brad Keller,1,KC,SP,9,9,1,4.36,3,4,0,0,43.1,41,21,3,40,31,6.4,0.6,1.87
Alek Manoah,2,TOR,SP,9,9,2,5.40,1,4,0,0,45.0,49,27,8,32,35,7.0,-0.4,1.80
Edward Cabrera,3,MIA,SP,8,8,1,5.35,2,3,0,0,35.1,29,21,5,30,49,12.5,0.2,1.67
Jack Flaherty,4,STL,SP,9,9,2,5.24,3,4,0,0,46.1,44,27,6,29,49,9.5,0.0,1.58
Michael Kopech,5,CHW,SP,8,8,2,5.74,1,4,0,0,42.1,38,27,12,28,41,8.7,0.2,1.56
Blake Snell,6,SD,SP,8,8,3,4.61,1,5,0,0,41.0,38,21,7,25,43,9.4,0.0,1.54
Ryan Feltner,6,COL,SP,8,8,1,5.86,2,3,0,0,35.1,37,23,2,25,33,8.4,0.0,1.75
Shane McClanahan,8,TB,SP,9,9,6,2.34,7,0,0,0,50.0,37,13,6,24,61,11.0,1.6,1.22
Kodai Senga,9,NYM,SP,7,7,2,4.14,4,2,0,0,37.0,33,17,6,23,43,10.5,0.3,1.51
Ken Waldichuk,9,OAK,SP,8,8,1,7.02,1,2,0,0,41.0,52,32,12,23,36,7.9,-0.7,1.83
Chris Bassitt,11,TOR,SP,8,8,6,3.49,5,2,0,0,49.0,31,19,6,22,41,7.5,0.7,1.08
Dylan Cease,11,CHW,SP,9,9,3,4.86,2,2,0,0,46.1,45,25,5,22,54,10.5,0.2,1.45
Shohei Ohtani,11,LAA,SP,9,9,5,3.23,5,1,0,0,53.0,26,19,8,22,71,12.1,1.5,0.91
Josiah Gray,11,WSH,SP,9,9,5,2.73,3,5,0,0,52.2,49,16,5,22,45,7.7,1.7,1.35
Tylor Megill,11,NYM,SP,8,8,1,4.02,4,2,0,0,40.1,39,18,5,22,31,6.9,0.4,1.51
Merrill Kelly,16,ARI,SP,9,9,5,2.92,4,3,0,0,52.1,36,17,5,21,55,9.5,1.0,1.09
MacKenzie Gore,16,WSH,SP,8,8,4,3.29,3,2,0,0,41.0,39,15,4,21,51,11.2,1.2,1.46
Kyle Muller,16,OAK,SP,9,9,0,7.71,1,3,0,0,42.0,61,36,7,21,30,6.4,-0.8,1.95
Shintaro Fujinami,16,OAK,SP,12,4,1,12.24,1,4,0,0,25.0,31,34,3,21,24,8.6,-1.5,2.08
Roansy Contreras,20,PIT,SP,8,8,4,4.40,3,4,0,0,45.0,45,22,4,20,32,6.4,0.7,1.44
Johan Oviedo,20,PIT,SP,8,8,3,5.14,2,3,0,0,42.0,49,24,3,20,36,7.7,0.0,1.64
Graham Ashcraft,20,CIN,SP,8,8,5,3.95,2,1,0,0,43.1,38,19,4,20,33,6.9,1.1,1.34
Tyler Anderson,23,LAA,SP,7,7,3,5.26,1,0,0,0,37.2,42,22,6,19,25,6.0,0.0,1.62
Marcus Stroman,23,CHC,SP,9,9,7,3.24,2,4,0,0,50.0,40,18,4,19,47,8.5,1.2,1.18
Nick Pivetta,23,BOS,SP,8,8,1,6.30,3,3,0,0,40.0,43,28,9,19,42,9.5,-0.2,1.55
Freddy Peralta,23,MIL,SP,8,8,5,4.11,4,3,0,0,46.0,41,21,5,19,50,9.8,0.4,1.30
Charlie Morton,27,ATL,SP,8,8,5,2.85,5,3,0,0,47.1,47,15,4,18,49,9.3,1.3,1.37
Gerrit Cole,27,NYY,SP,9,9,6,2.22,5,0,0,0,56.2,41,14,4,18,62,9.8,2.2,1.04
Andrew Heaney,27,TEX,SP,8,8,4,4.71,2,3,0,0,42.0,32,22,8,18,47,10.1,0.1,1.19
Mike Clevinger,27,CHW,SP,8,8,2,4.79,2,3,0,0,41.1,41,22,7,18,35,7.6,0.7,1.43
Javy Guerra,27,MIL/TB,RP,14,2,0,6.75,0,0,0,0,13.1,14,10,1,18,9,6.1,-0.2,2.40
Corbin Burnes,27,MIL,SP,8,8,4,3.35,4,2,0,0,45.2,33,17,4,18,39,7.7,0.3,1.12
Eric Lauer,27,MIL,SP,8,7,2,4.54,4,4,0,0,39.2,39,20,10,18,39,8.8,-0.4,1.44
Lance Lynn,34,CHW,SP,9,9,2,6.66,2,5,0,0,51.1,61,38,11,17,61,10.7,-0.4,1.52
Jordan Lyles,34,KC,SP,9,9,1,7.14,0,7,0,0,51.2,52,41,14,17,38,6.6,-0.8,1.34
Taijuan Walker,34,PHI,SP,8,8,4,5.75,3,2,0,0,40.2,39,26,8,17,38,8.4,0.0,1.38
Hunter Greene,34,CIN,SP,9,9,2,4.60,0,3,0,0,43.0,51,22,6,17,59,12.3,0.7,1.58
Jesus Luzardo,34,MIA,SP,9,9,5,3.16,3,2,0,0,51.1,53,18,6,17,55,9.6,1.5,1.36
